entity_id,state,last_changed
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-8.520911477638888,2025-01-04T06:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-7.106981785444444,2025-01-04T07:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-2.9580463064444444,2025-01-04T08:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-0.7051818096944444,2025-01-04T09:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,1.0449105921388888,2025-01-04T10:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,2.8045842170277777,2025-01-04T11:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,4.016695684305556,2025-01-04T12:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,4.114687511583333,2025-01-04T13:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,3.227982681083333,2025-01-04T14:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,1.4954209769166666,2025-01-04T15:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,1.0187460110277777,2025-01-04T16:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-1.4688071387777777,2025-01-04T17:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-2.8704608209444444,2025-01-04T18:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-3.539896607722222,2025-01-04T19:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-4.298852670472222,2025-01-04T20:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-4.848138302944444,2025-01-04T21:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-5.385091002916667,2025-01-04T22:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-5.5733028971388885,2025-01-04T23:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-4.736490258416667,2025-01-05T00:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-4.339402357277778,2025-01-05T01:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-3.9578204066944447,2025-01-05T02:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-3.6072753466944447,2025-01-05T03:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-3.5910890803611113,2025-01-05T04:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-3.380913808277777,2025-01-05T05:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-3.1912236274166665,2025-01-05T06:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-2.8687446168888893,2025-01-05T07:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-2.2970000926666665,2025-01-05T08:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,0.40907543625,2025-01-05T09:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-0.036154194194444454,2025-01-05T10:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,0.07682113877777778,2025-01-05T11:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,0.2468307239166667,2025-01-05T12:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,0.09851150883333333,2025-01-05T13:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,0.30110189494444445,2025-01-05T14:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-0.49714451958333333,2025-01-05T15:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-1.3462967858888888,2025-01-05T16:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-1.520358511611111,2025-01-05T17:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-2.083659405277778,2025-01-05T18:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-1.3603701213333332,2025-01-05T19:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-1.3649704205,2025-01-05T20:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-1.660152461138889,2025-01-05T21:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-2.3530862615833334,2025-01-05T22:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-2.829510060694444,2025-01-05T23:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-2.5443086596666666,2025-01-06T00:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-1.4000361169722222,2025-01-06T01:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,-0.7205904851944444,2025-01-06T02:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,0.4855454723055555,2025-01-06T03:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,1.9267196324166667,2025-01-06T04:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,2.9219905141944444,2025-01-06T05:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,8.488221739388889,2025-01-06T06:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,11.516429481916667,2025-01-06T07:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,11.679987972527776,2025-01-06T08:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,12.866914755805555,2025-01-06T09:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,13.628247093638889,2025-01-06T10:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,13.957057738166666,2025-01-06T11:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,15.26637234377778,2025-01-06T12:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,14.372116459611112,2025-01-06T13:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,13.845043754,2025-01-06T14:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,12.98838796252778,2025-01-06T15:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,10.524011138777778,2025-01-06T16:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,10.153609578916667,2025-01-06T17:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,9.833860986833335,2025-01-06T18:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,8.607509691472222,2025-01-06T19:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,8.475312754833334,2025-01-06T20:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,7.052065551444444,2025-01-06T21:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,5.228645194388888,2025-01-06T22:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,4.969348496305556,2025-01-06T23:00:00.000Z
sensor.easyweatherpro_v5_0_2_outdoor_temperature,4.316504010027778,2025-01-07T00:00:00.000Z
